config_batch_size,config_context_terms,config_demand_power,config_depth,config_dropout,config_epochs,config_hidden_size,config_learning_rate,config_loss,config_mu,config_n_samples,config_rho,config_run_id,config_seed,config_sigma,config_solver,config_test_fraction,config_tolerance_absolute_floor,config_tolerance_relative,config_validation_fraction
32,3,1.0,2,0.0,100,64,0.0003,mse_scen,0.0,2000,0.0,run_0073_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,2,0.0,100,64,0.0003,mse_scen,0.0,2000,0.0,run_0074_seed2,2,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,2,0.0,100,64,0.0003,mse_scen,0.0,2000,0.0,run_0075_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,2,0.1,100,64,0.0003,mse_scen,0.0,2000,0.0,run_0076_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,2,0.1,100,64,0.0003,mse_scen,0.0,2000,0.0,run_0077_seed2,2,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,2,0.1,100,64,0.0003,mse_scen,0.0,2000,0.0,run_0078_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,2,0.0,100,64,0.0003,mse_scen,0.0,2000,0.0,run_0079_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,2,0.0,100,64,0.0003,mse_scen,0.0,2000,0.0,run_0080_seed2,2,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,2,0.0,100,64,0.0003,mse_scen,0.0,2000,0.0,run_0081_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,2,0.1,100,64,0.0003,mse_scen,0.0,2000,0.0,run_0082_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,2,0.1,100,64,0.0003,mse_scen,0.0,2000,0.0,run_0083_seed2,2,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,2,0.1,100,64,0.0003,mse_scen,0.0,2000,0.0,run_0084_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,3,0.0,100,64,0.0003,mse_scen,0.0,2000,0.0,run_0085_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
