attempt_id,run_id,phase,candidate_name,replicate,worker_id,hostname,pid,started_at
full_schedule_shape_screen_geometric_rep02_attempt1778022760507_w4,full_schedule_shape_screen_geometric_rep02,schedule_shape,geometric,2,4,instance-20260501-133020,2046956,1778022760507
full_schedule_shape_final_geometric_rep01_attempt1778023601434_w2,full_schedule_shape_final_geometric_rep01,schedule_shape,geometric,1,2,instance-20260501-084214,1068493,1778023601434
full_schedule_shape_final_geometric_rep06_attempt1778023601435_w7,full_schedule_shape_final_geometric_rep06,schedule_shape,geometric,6,7,instance-20260501-084214,1068505,1778023601435
full_schedule_shape_final_cosine_rep01_attempt1778023601435_w8,full_schedule_shape_final_cosine_rep01,schedule_shape,cosine,1,8,instance-20260501-084214,1068506,1778023601435
full_schedule_shape_final_cosine_rep02_attempt1778023601435_w9,full_schedule_shape_final_cosine_rep02,schedule_shape,cosine,2,9,instance-20260501-084214,1068507,1778023601435
full_schedule_shape_final_geometric_rep04_attempt1778023601438_w5,full_schedule_shape_final_geometric_rep04,schedule_shape,geometric,4,5,instance-20260501-133020,2046957,1778023601438
full_schedule_shape_final_geometric_rep02_attempt1778023601438_w3,full_schedule_shape_final_geometric_rep02,schedule_shape,geometric,2,3,instance-20260501-133020,2046948,1778023601438
full_schedule_shape_final_geometric_rep03_attempt1778023601438_w4,full_schedule_shape_final_geometric_rep03,schedule_shape,geometric,3,4,instance-20260501-133020,2046956,1778023601438
full_schedule_shape_final_geometric_rep05_attempt1778023601439_w6,full_schedule_shape_final_geometric_rep05,schedule_shape,geometric,5,6,instance-20260501-133020,2046958,1778023601439
full_schedule_shape_final_cosine_rep03_attempt1778023601457_w10,full_schedule_shape_final_cosine_rep03,schedule_shape,cosine,3,10,instance-20260501-084214,1068508,1778023601457
full_schedule_shape_final_cosine_rep05_attempt1778023601476_w12,full_schedule_shape_final_cosine_rep05,schedule_shape,cosine,5,12,instance-20260501-084214,1068514,1778023601476
full_schedule_shape_final_cosine_rep04_attempt1778023601476_w11,full_schedule_shape_final_cosine_rep04,schedule_shape,cosine,4,11,instance-20260501-084214,1068509,1778023601476
full_schedule_shape_final_cosine_rep06_attempt1778023601476_w13,full_schedule_shape_final_cosine_rep06,schedule_shape,cosine,6,13,instance-20260501-084214,1068516,1778023601476
full_piecewise_linear_screen_default_rep01_attempt1778027322634_w2,full_piecewise_linear_screen_default_rep01,piecewise_linear,default,1,2,instance-20260501-084214,1068493,1778027322634
full_piecewise_linear_screen_more_pieces_rep01_attempt1778027322634_w7,full_piecewise_linear_screen_more_pieces_rep01,piecewise_linear,more_pieces,1,7,instance-20260501-084214,1068505,1778027322634
full_piecewise_linear_screen_fewer_pieces_rep01_attempt1778027322635_w8,full_piecewise_linear_screen_fewer_pieces_rep01,piecewise_linear,fewer_pieces,1,8,instance-20260501-084214,1068506,1778027322635
full_piecewise_linear_screen_long_finetune_rep01_attempt1778027322635_w9,full_piecewise_linear_screen_long_finetune_rep01,piecewise_linear,long_finetune,1,9,instance-20260501-084214,1068507,1778027322635
full_piecewise_linear_screen_lower_end_mu_rep01_attempt1778027322666_w3,full_piecewise_linear_screen_lower_end_mu_rep01,piecewise_linear,lower_end_mu,1,3,instance-20260501-133020,2046948,1778027322666
full_piecewise_linear_screen_higher_end_mu_rep01_attempt1778027322666_w4,full_piecewise_linear_screen_higher_end_mu_rep01,piecewise_linear,higher_end_mu,1,4,instance-20260501-133020,2046956,1778027322666
full_piecewise_linear_screen_long_start_rep01_attempt1778027322666_w6,full_piecewise_linear_screen_long_start_rep01,piecewise_linear,long_start,1,6,instance-20260501-133020,2046958,1778027322666
full_piecewise_linear_screen_short_start_rep01_attempt1778027322666_w5,full_piecewise_linear_screen_short_start_rep01,piecewise_linear,short_start,1,5,instance-20260501-133020,2046957,1778027322666
full_piecewise_linear_screen_default_rep02_attempt1778028342961_w2,full_piecewise_linear_screen_default_rep02,piecewise_linear,default,2,2,instance-20260501-084214,1068493,1778028342961
full_piecewise_linear_screen_more_pieces_rep02_attempt1778028342962_w7,full_piecewise_linear_screen_more_pieces_rep02,piecewise_linear,more_pieces,2,7,instance-20260501-084214,1068505,1778028342962
