attempt_id,run_id,phase,candidate_name,replicate,epoch,mu,mu_in,mu_ref,rho_in,rho_ref,iterations,epoch_seconds,training_loss,display_loss,training_contexts,epochs,depth,hidden_size,schedule_kind,seed,worker_id,hostname,created_at
smoke_schedule_shape_screen_geometric_rep01_attempt1778001596411_w4,smoke_schedule_shape_screen_geometric_rep01,schedule_shape,geometric,1,1,1.0,1.0,1.0,0.0,0.0,4,0.3169229030609131,2378.5468707618284,2378.5468707618284,4,1,3,512,geometric,95001,4,instance-20260505-114317,1778001596798
smoke_schedule_shape_screen_piecewise_linear_rep01_attempt1778001596445_w2,smoke_schedule_shape_screen_piecewise_linear_rep01,schedule_shape,piecewise_linear,1,1,1.0,1.0,1.0,0.0,0.0,4,0.2496039867401123,2378.565935438155,2378.565935438155,4,1,3,512,piecewise_linear,95001,2,instance-20260505-143121,1778001596811
smoke_schedule_shape_screen_delayed_quadratic_rep01_attempt1778001596397_w6,smoke_schedule_shape_screen_delayed_quadratic_rep01,schedule_shape,delayed_quadratic,1,1,1.0,1.0,1.0,0.0,0.0,4,0.5231750011444092,2378.5438037971135,2378.5438037971135,4,1,3,512,delayed_quadratic,95001,6,instance-20260501-084214,1778001596949
smoke_schedule_shape_screen_linear_rep01_attempt1778001596399_w3,smoke_schedule_shape_screen_linear_rep01,schedule_shape,linear,1,1,1.0,1.0,1.0,0.0,0.0,4,0.9989349842071533,2378.57889450519,2378.57889450519,4,1,3,512,linear,95001,3,instance-20260504-202505,1778001597490
smoke_schedule_shape_screen_early_quadratic_rep01_attempt1778001606062_w7,smoke_schedule_shape_screen_early_quadratic_rep01,schedule_shape,early_quadratic,1,1,1.0,1.0,1.0,0.0,0.0,4,33.84706902503967,2378.3694910613494,2378.3694910613494,4,1,3,512,early_quadratic,95001,7,instance-20260504-201725,1778001654769
smoke_schedule_shape_final_early_quadratic_rep01_attempt1778001662426_w2,smoke_schedule_shape_final_early_quadratic_rep01,schedule_shape,early_quadratic,1,1,1.0,1.0,1.0,0.0,0.0,4,0.7272918224334717,2378.4835472691634,2378.4835472691634,4,1,3,512,early_quadratic,95001,2,instance-20260505-143121,1778001663273
smoke_piecewise_linear_screen_lower_end_mu_rep01_attempt1778001664132_w3,smoke_piecewise_linear_screen_lower_end_mu_rep01,piecewise_linear,lower_end_mu,1,1,1.0,1.0,1.0,0.0,0.0,4,0.38753676414489746,2378.556183318391,2378.556183318391,4,1,3,512,piecewise_linear,95001,3,instance-20260504-202505,1778001664568
smoke_piecewise_linear_screen_default_rep01_attempt1778001664178_w2,smoke_piecewise_linear_screen_default_rep01,piecewise_linear,default,1,1,1.0,1.0,1.0,0.0,0.0,4,0.2505190372467041,2378.3536232397673,2378.3536232397673,4,1,3,512,piecewise_linear,95001,2,instance-20260505-143121,1778001664555
smoke_piecewise_linear_screen_more_pieces_rep01_attempt1778001664153_w7,smoke_piecewise_linear_screen_more_pieces_rep01,piecewise_linear,more_pieces,1,1,1.0,1.0,1.0,0.0,0.0,4,0.4247610569000244,2378.5352101803205,2378.5352101803205,4,1,3,512,piecewise_linear,95001,7,instance-20260504-201725,1778001664615
smoke_piecewise_linear_screen_long_start_rep01_attempt1778001664130_w6,smoke_piecewise_linear_screen_long_start_rep01,piecewise_linear,long_start,1,1,1.0,1.0,1.0,0.0,0.0,4,0.5323789119720459,2378.592487801988,2378.592487801988,4,1,3,512,piecewise_linear,95001,6,instance-20260501-084214,1778001664710
smoke_piecewise_linear_screen_short_start_rep01_attempt1778001664134_w5,smoke_piecewise_linear_screen_short_start_rep01,piecewise_linear,short_start,1,1,1.0,1.0,1.0,0.0,0.0,4,0.8059160709381104,2378.566305681632,2378.566305681632,4,1,3,512,piecewise_linear,95001,5,instance-20260501-133020,1778001664974
smoke_piecewise_linear_screen_higher_end_mu_rep01_attempt1778001664144_w4,smoke_piecewise_linear_screen_higher_end_mu_rep01,piecewise_linear,higher_end_mu,1,1,1.0,1.0,1.0,0.0,0.0,4,0.78774094581604,2378.483866972855,2378.483866972855,4,1,3,512,piecewise_linear,95001,4,instance-20260505-114317,1778001665050
smoke_piecewise_linear_screen_long_finetune_rep01_attempt1778001671569_w9,smoke_piecewise_linear_screen_long_finetune_rep01,piecewise_linear,long_finetune,1,1,1.0,1.0,1.0,0.0,0.0,4,26.6957790851593,2378.504621927446,2378.504621927446,4,1,3,512,piecewise_linear,95001,9,instance-20260501-133020,1778001709924
smoke_piecewise_linear_screen_fewer_pieces_rep01_attempt1778001672394_w8,smoke_piecewise_linear_screen_fewer_pieces_rep01,piecewise_linear,fewer_pieces,1,1,1.0,1.0,1.0,0.0,0.0,4,27.17233896255493,2378.5560048948128,2378.5560048948128,4,1,3,512,piecewise_linear,95001,8,instance-20260505-111334,1778001710991
smoke_piecewise_linear_final_default_rep01_attempt1778001716743_w2,smoke_piecewise_linear_final_default_rep01,piecewise_linear,default,1,1,1.0,1.0,1.0,0.0,0.0,4,0.6782751083374023,2378.3106090717924,2378.3106090717924,4,1,3,512,piecewise_linear,95001,2,instance-20260505-143121,1778001717575
