candidate_name,controller_status,exitcode,group,launched_at,pid,replicate,run_id,running
scenarios4,finished,0,02_multi_scenario,1777959064726,62686,3,full_02_multi_scenario_scenarios4_rep03,false
scenarios4,finished,0,02_multi_scenario,1777959317002,63157,5,full_02_multi_scenario_scenarios4_rep05,false
rho_0p0003,finished,0,03_quadratic_smoothing,1777962943931,68859,4,full_03_quadratic_smoothing_rho_0p0003_rep04,false
scenarios4,finished,0,02_multi_scenario,1777958828372,62309,1,full_02_multi_scenario_scenarios4_rep01,false
rho_0p0003,finished,0,03_quadratic_smoothing,1777962749818,68564,3,full_03_quadratic_smoothing_rho_0p0003_rep03,false
rho_0p0003,finished,0,03_quadratic_smoothing,1777962571572,68271,2,full_03_quadratic_smoothing_rho_0p0003_rep02,false
rho_0p0003,finished,0,03_quadratic_smoothing,1777963369568,69553,5,full_03_quadratic_smoothing_rho_0p0003_rep05,false
rho_0p001,finished,0,03_quadratic_smoothing,1777963551435,69798,2,full_03_quadratic_smoothing_rho_0p001_rep02,false
rho_0p001,finished,0,03_quadratic_smoothing,1777963495350,69719,1,full_03_quadratic_smoothing_rho_0p001_rep01,false
scenarios4,finished,0,02_multi_scenario,1777959036191,62620,2,full_02_multi_scenario_scenarios4_rep02,false
rho_0p001,finished,0,03_quadratic_smoothing,1777964031962,70542,3,full_03_quadratic_smoothing_rho_0p001_rep03,false
rho_0p001,finished,0,03_quadratic_smoothing,1777964554940,71427,5,full_03_quadratic_smoothing_rho_0p001_rep05,false
rho_0p001,finished,0,03_quadratic_smoothing,1777964309547,70991,4,full_03_quadratic_smoothing_rho_0p001_rep04,false
rho_0p003,finished,0,03_quadratic_smoothing,1777965743633,72967,1,full_03_quadratic_smoothing_rho_0p003_rep01,false
rho_0p003,finished,0,03_quadratic_smoothing,1777965781666,72975,2,full_03_quadratic_smoothing_rho_0p003_rep02,false
rho_0p003,finished,0,03_quadratic_smoothing,1777966065445,73129,4,full_03_quadratic_smoothing_rho_0p003_rep04,false
rho_0p003,finished,0,03_quadratic_smoothing,1777966348035,73399,5,full_03_quadratic_smoothing_rho_0p003_rep05,false
rho_0p003,finished,0,03_quadratic_smoothing,1777966054428,73110,3,full_03_quadratic_smoothing_rho_0p003_rep03,false
pure_rho_0p001,finished,0,04_pure_quadratic,1777966985770,73718,1,full_04_pure_quadratic_pure_rho_0p001_rep01,false
pure_rho_0p0003,finished,0,04_pure_quadratic,1777966444626,73465,1,full_04_pure_quadratic_pure_rho_0p0003_rep01,false
pure_rho_0p0003,finished,0,04_pure_quadratic,1777966963988,73716,5,full_04_pure_quadratic_pure_rho_0p0003_rep05,false
pure_rho_0p003,finished,0,04_pure_quadratic,1777968673722,74511,1,full_04_pure_quadratic_pure_rho_0p003_rep01,false
pure_rho_0p0003,finished,0,04_pure_quadratic,1777966590151,73527,2,full_04_pure_quadratic_pure_rho_0p0003_rep02,false
pure_rho_0p0003,finished,0,04_pure_quadratic,1777966783987,73618,3,full_04_pure_quadratic_pure_rho_0p0003_rep03,false
pure_rho_0p0003,finished,0,04_pure_quadratic,1777966936676,73693,4,full_04_pure_quadratic_pure_rho_0p0003_rep04,false
pure_rho_0p003,finished,0,04_pure_quadratic,1777969166480,74749,2,full_04_pure_quadratic_pure_rho_0p003_rep02,false
pure_rho_0p001,finished,0,04_pure_quadratic,1777967878114,74067,4,full_04_pure_quadratic_pure_rho_0p001_rep04,false
pure_rho_0p003,finished,0,04_pure_quadratic,1777969172022,74775,3,full_04_pure_quadratic_pure_rho_0p003_rep03,false
pure_rho_0p003,finished,0,04_pure_quadratic,1777969492189,74948,4,full_04_pure_quadratic_pure_rho_0p003_rep04,false
pure_rho_0p001,finished,0,04_pure_quadratic,1777967808487,74034,3,full_04_pure_quadratic_pure_rho_0p001_rep03,false
pure_rho_0p001,finished,0,04_pure_quadratic,1777968662730,74506,5,full_04_pure_quadratic_pure_rho_0p001_rep05,false
pure_rho_0p001,finished,0,04_pure_quadratic,1777967765432,74024,2,full_04_pure_quadratic_pure_rho_0p001_rep02,false
pure_rho_0p01,finished,0,04_pure_quadratic,1777972182866,76120,1,full_04_pure_quadratic_pure_rho_0p01_rep01,false
