config_batch_size,config_context_terms,config_demand_power,config_depth,config_dropout,config_epochs,config_hidden_size,config_learning_rate,config_loss,config_mu,config_n_samples,config_rho,config_run_id,config_seed,config_sigma,config_solver,config_test_fraction,config_tolerance_absolute_floor,config_tolerance_relative,config_validation_fraction,elapsed_seconds,error,fallback_reason,finished_at,hostname,julia_version,pid,run_id,started_at,status,test_mae,test_mse,test_relative_mae,test_rmse,test_sample_count,test_tolerance_accuracy,train_mae,train_mse,train_relative_mae,train_rmse,train_sample_count,train_tolerance_accuracy,training_backend,validation_mae,validation_mse,validation_relative_mae,validation_rmse,validation_sample_count,validation_tolerance_accuracy,worker_id
32,3,1.0,2,0.1,100,64,0.001,mse_scen,0.0,2000,0.0,run_0149_seed2,2,5.0,highs,0.15,1.0,0.1,0.15,1.478640331,,Training has not been implemented yet.,2026-05-01T16:37:16.592,instance-20260501-133020,1.12.6,17419,run_0149_seed2,2026-05-01T16:37:15.111,ok,4.069786164463858,25.816684835777284,0.06990606411576457,5.081012186147292,300,0.7611111111111111,3.9943125731181146,25.081504253575318,0.06729673489745738,5.00814379322073,1400,0.7735238095238095,ContextualDFLTraining.supervised_mse_fallback,4.004161174057818,25.17285794189962,0.06719360882212996,5.01725601717708,300,0.7742222222222223,11
32,3,1.0,2,0.1,100,64,0.001,mse_scen,0.0,2000,0.0,run_0150_seed3,3,5.0,highs,0.15,1.0,0.1,0.15,2.098248337,,Training has not been implemented yet.,2026-05-01T16:37:17.907,instance-20260501-133020,1.12.6,17399,run_0150_seed3,2026-05-01T16:37:15.805,ok,4.01107500168907,25.113754486407327,0.06578154118728151,5.011362537913948,300,0.7881111111111111,4.045801375599992,25.698298527886283,0.06556101137765043,5.069348925442624,1400,0.7856190476190477,ContextualDFLTraining.supervised_mse_fallback,3.997582164606267,25.20292913043155,0.06416881288895997,5.020251899101433,300,0.7948888888888889,10
64,3,1.0,2,0.0,100,64,0.001,mse_scen,0.0,2000,0.0,run_0151_seed1,1,5.0,highs,0.15,1.0,0.1,0.15,0.913974777,,Training has not been implemented yet.,2026-05-01T16:37:17.485,instance-20260501-133020,1.12.6,17420,run_0151_seed1,2026-05-01T16:37:16.569,ok,4.343441103281966,29.533019087930366,0.06996042457110659,5.434429048937005,300,0.7625555555555555,4.267704674355939,28.757070506792203,0.06905624201853679,5.362561935007577,1400,0.7644761904761905,ContextualDFLTraining.supervised_mse_fallback,4.292723284520102,29.217154960739304,0.06842578707477052,5.405289535329195,300,0.7674444444444445,12
64,3,1.0,2,0.0,100,64,0.001,mse_scen,0.0,2000,0.0,run_0152_seed2,2,5.0,highs,0.15,1.0,0.1,0.15,1.439725729,,Training has not been implemented yet.,2026-05-01T16:37:18.060,instance-20260501-133020,1.12.6,17419,run_0152_seed2,2026-05-01T16:37:16.618,ok,4.170138489826166,27.27508541449283,0.07155476517310116,5.222555448675756,300,0.7504444444444445,4.114429525588468,26.679326821811078,0.06922641276356399,5.165203463738004,1400,0.7611428571428571,ContextualDFLTraining.supervised_mse_fallback,4.12638103766241,26.721572971357975,0.0691678363463753,5.169291341311493,300,0.7604444444444445,11
64,3,1.0,2,0.0,100,64,0.001,mse_scen,0.0,2000,0.0,run_0153_seed3,3,5.0,highs,0.15,1.0,0.1,0.15,0.862293969,,Training has not been implemented yet.,2026-05-01T16:37:17.978,instance-20260501-133020,1.12.6,17421,run_0153_seed3,2026-05-01T16:37:17.037,ok,4.294365475437671,28.88176547039121,0.07040607412615235,5.374175794518747,300,0.7577777777777778,4.298022553773989,29.20255799545799,0.06949306114242011,5.403939118407792,1400,0.7584047619047619,ContextualDFLTraining.supervised_mse_fallback,4.2447152125074314,28.565150492011377,0.06805197129266366,5.344637545429192,300,0.7716666666666666,13
64,3,1.0,2,0.1,100,64,0.001,mse_scen,0.0,2000,0.0,run_0154_seed1,1,5.0,highs,0.15,1.0,0.1,0.15,0.983329135,,Training has not been implemented yet.,2026-05-01T16:37:18.495,instance-20260501-133020,1.12.6,17420,run_0154_seed1,2026-05-01T16:37:17.510,ok,4.1424412324649085,26.86568144356685,0.06662620936287576,5.183211499019392,300,0.7798888888888889,4.070841088003322,26.056672844965167,0.06578130471366246,5.1045737182418245,1400,0.7851190476190476,ContextualDFLTraining.supervised_mse_fallback,4.105389265129929,26.5970836491391,0.06530205722258961,5.157236047452075,300,0.7866666666666666,12
64,3,1.0,2,0.1,100,64,0.001,mse_scen,0.0,2000,0.0,run_0155_seed2,2,5.0,highs,0.15,1.0,0.1,0.15,1.106666303,,Training has not been implemented yet.,2026-05-01T16:37:19.043,instance-20260501-133020,1.12.6,17399,run_0155_seed2,2026-05-01T16:37:17.932,ok,4.13205114544632,26.64165943648951,0.07060820602710903,5.1615559123668815,300,0.753,4.064149933571681,26.017346197417687,0.06808547402392978,5.100720164586339,1400,0.7679761904761905,ContextualDFLTraining.supervised_mse_fallback,4.075296265710551,26.105444307381816,0.06802778107159876,5.109348716556917,300,0.7687777777777778,10
64,3,1.0,2,0.1,100,64,0.001,mse_scen,0.0,2000,0.0,run_0156_seed3,3,5.0,highs,0.15,1.0,0.1,0.15,1.658267544,,Training has not been implemented yet.,2026-05-01T16:37:19.663,instance-20260501-133020,1.12.6,17421,run_0156_seed3,2026-05-01T16:37:18.003,ok,4.252215634199571,28.303172668888706,0.0697856114960547,5.320072618760829,300,0.7591111111111111,4.2674072836985575,28.72548022095315,0.0691338312549294,5.359615678474824,1400,0.7633571428571428,ContextualDFLTraining.supervised_mse_fallback,4.20084780725878,28.062343729684414,0.06746586680727713,5.297390275379417,300,0.776,13
32,3,1.0,3,0.0,100,64,0.001,mse_scen,0.0,2000,0.0,run_0157_seed1,1,5.0,highs,0.15,1.0,0.1,0.15,1.727754332,,Training has not been implemented yet.,2026-05-01T16:37:19.817,instance-20260501-133020,1.12.6,17419,run_0157_seed1,2026-05-01T16:37:18.086,ok,4.062203688661151,25.86759436677984,0.06532107384862997,5.0860195012189875,300,0.7885555555555556,4.005177306638257,25.162759172061662,0.06466850012095626,5.016249512540386,1400,0.7912857142857143,ContextualDFLTraining.supervised_mse_fallback,4.032499552297467,25.610592415075924,0.06405992856319659,5.060690902937654,300,0.7923333333333333,11
32,3,1.0,3,0.0,100,64,0.001,mse_scen,0.0,2000,0.0,run_0158_seed2,2,5.0,highs,0.15,1.0,0.1,0.15,2.195048135,,Training has not been implemented yet.,2026-05-01T16:37:20.718,instance-20260501-133020,1.12.6,17420,run_0158_seed2,2026-05-01T16:37:18.520,ok,4.069155352866108,25.777988979080448,0.0697068694799887,5.077202869600589,300,0.7601111111111111,3.9821391052236166,24.93173931714908,0.06694145830406045,4.993169265821967,1400,0.7751666666666667,ContextualDFLTraining.supervised_mse_fallback,3.992129408479872,25.003543739757305,0.06685392316262892,5.000354361418529,300,0.7765555555555556,12
32,3,1.0,3,0.0,100,64,0.001,mse_scen,0.0,2000,0.0,run_0159_seed3,3,5.0,highs,0.15,1.0,0.1,0.15,3.229798992,,Training has not been implemented yet.,2026-05-01T16:37:21.889,instance-20260501-084214,1.12.6,14164,run_0159_seed3,2026-05-01T16:37:18.652,ok,3.98049889211667,24.817451186944645,0.06548965024043417,4.981711672401831,300,0.7875555555555556,4.016580151704941,25.295050477565844,0.06533409759207133,5.029418502925148,1400,0.790047619047619,ContextualDFLTraining.supervised_mse_fallback,3.991474164489415,25.058241093700957,0.0642442865963479,5.005820721290462,300,0.7981111111111111,4
32,3,1.0,3,0.1,100,64,0.001,mse_scen,0.0,2000,0.0,run_0160_seed1,1,5.0,highs,0.15,1.0,0.1,0.15,1.964289488,,Training has not been implemented yet.,2026-05-01T16:37:21.036,instance-20260501-133020,1.12.6,17399,run_0160_seed1,2026-05-01T16:37:19.068,ok,4.254448297837986,28.369879435720474,0.06898360800238537,5.326338276501078,300,0.7643333333333333,4.185313528197355,27.58588152341397,0.06810345608369915,5.2522263396976685,1400,0.7704761904761904,ContextualDFLTraining.supervised_mse_fallback,4.227789354678227,28.203964990122458,0.06778264152971979,5.310740531236906,300,0.7716666666666666,10
32,3,1.0,3,0.1,100,64,0.001,mse_scen,0.0,2000,0.0,run_0161_seed2,2,5.0,highs,0.15,1.0,0.1,0.15,1.986546025,,Training has not been implemented yet.,2026-05-01T16:37:21.679,instance-20260501-133020,1.12.6,17421,run_0161_seed2,2026-05-01T16:37:19.689,ok,4.212553643461734,27.69929192718227,0.07102760136887024,5.263011678419711,300,0.7453333333333333,4.167842219177581,27.356890427142666,0.06880778317149465,5.230381480077975,1400,0.7594761904761905,ContextualDFLTraining.supervised_mse_fallback,4.191714554272674,27.581010016381974,0.06894049187308292,5.251762562833736,300,0.7597777777777778,13
32,3,1.0,3,0.1,100,64,0.001,mse_scen,0.0,2000,0.0,run_0162_seed3,3,5.0,highs,0.15,1.0,0.1,0.15,2.012421856,,Training has not been implemented yet.,2026-05-01T16:37:21.860,instance-20260501-133020,1.12.6,17419,run_0162_seed3,2026-05-01T16:37:19.843,ok,4.077489517572593,25.98013179381572,0.0664133873148068,5.09707090335378,300,0.783,4.098068184134071,26.366906241783397,0.06589337195940777,5.134871589609948,1400,0.7825238095238095,ContextualDFLTraining.supervised_mse_fallback,4.0598834486027355,26.07957124458476,0.064648545512549,5.106816155354014,300,0.7884444444444444,11
64,3,1.0,3,0.0,100,64,0.001,mse_scen,0.0,2000,0.0,run_0163_seed1,1,5.0,highs,0.15,1.0,0.1,0.15,2.305432615,,Training has not been implemented yet.,2026-05-01T16:37:22.353,instance-20260501-084214,1.12.6,14169,run_0163_seed1,2026-05-01T16:37:20.043,ok,4.307777954888234,29.091538138420606,0.06954645492720223,5.39365721365574,300,0.7634444444444445,4.230230562312686,28.23625063523667,0.06862011537637468,5.3137793175137285,1400,0.7681428571428571,ContextualDFLTraining.supervised_mse_fallback,4.261908844514323,28.780557709129116,0.06809276124208563,5.364751411680611,300,0.7685555555555555,9
64,3,1.0,3,0.0,100,64,0.001,mse_scen,0.0,2000,0.0,run_0164_seed2,2,5.0,highs,0.15,1.0,0.1,0.15,2.270805956,,Training has not been implemented yet.,2026-05-01T16:37:22.893,instance-20260501-084214,1.12.6,14139,run_0164_seed2,2026-05-01T16:37:20.617,ok,4.081748459566207,25.965624117426735,0.07010584113134864,5.095647566053478,300,0.7598888888888888,3.994198108848295,25.095573776449854,0.06731252731164067,5.009548260716714,1400,0.772952380952381,ContextualDFLTraining.supervised_mse_fallback,4.014622278626623,25.311329567517696,0.06741388889620485,5.031036629514607,300,0.7741111111111111,2
64,3,1.0,3,0.0,100,64,0.001,mse_scen,0.0,2000,0.0,run_0165_seed3,3,5.0,highs,0.15,1.0,0.1,0.15,1.221305412,,Training has not been implemented yet.,2026-05-01T16:37:21.967,instance-20260501-133020,1.12.6,17420,run_0165_seed3,2026-05-01T16:37:20.741,ok,4.07583820040444,25.96976909778786,0.06698043360014955,5.0960542675473794,300,0.7785555555555556,4.105013571410257,26.483398858406424,0.06667320893933765,5.146202372469084,1400,0.7790714285714285,ContextualDFLTraining.supervised_mse_fallback,4.062993525100144,26.14836325640303,0.06536580748427605,5.1135470327751005,300,0.7867777777777778,12
